id,category,title,description
N122939,sports,ON THE GUN: Browning X-Bolt Max Long Range,"Browning's new X-Bolt Max Long Range checks all the boxes for an affordable, long-range hunting rig: it's super accurate, runs flawlessly, it's heavy but still handy, and it costs just a little more than $1,000."
N60446,video,Must See! Drone Footage Shows Curious Shark Approaching Surfer!,Take a look at this amazing and scary drone footage of a curious shark approaching a seemingly unaware surfer! Buzz60's Mercer Morrison has the story.
N11575,lifestyle,The 40 Most Extreme Animals on the Planet,These incredible creatures will do just about anything to survive.
N40052,travel,6 hotels with incredible design from above  and how to get your own personal bird's-eye view,Jaws drop as Soneva Jani comes into view from the windows of the resort's private seaplane.
N98568,sports,"Cowboys News: One year after the trade, Amari Cooper continues to prove the Cowboys right",Check out today's news about your Dallas Cowboys.
N21889,autos,"Semi truck driver swerves to miss deer, crashed on I-40","Early Thursday morning on October 10, a semi truck driver said he crashed into the median of Interstate 40 at Lee Creek because of a deer. Arkansas State Police were called to the scene before 4:00 a.m. near Lee Creek on I-40. The driver told the trooper he swerved to miss a deer and went into the median. At the scene our cameras found the truck's front end in the tree line while the main cab and trailer were down a few meters along the..."
N129454,autos,Buy this Camaro V8 muscle car and meet its Top Gear owner,The Chevrolet Camaro Z/28 owned by Top Gear presenter Chris Harris is up for sale. And its lucky buyer will get some hot laps with the man himself. The post Buy this Camaro V8 muscle car and meet its Top Gear owner appeared first on Motoring Research.
N101329,autos,The Hidden Risks of Used Cars,A CR investigation found that dealers are selling used cars with open recalls to unsuspecting consumers. Here's how to protect yourself.
N34324,sports,"UH redshirt tracker: Who's sitting so far, others on way","By now, Houston coach Dana Holgorsen has a good idea which players will redshirt this season. Some of that could change over the final four games, depending on injuries, but for the most part the picture has become clear which players will redshirt this season. A few like D'Eriq King, Keith Corbin and Mulbah Car, all seniors, were not expected when the season began (although Holgorsen did warn that everything was ""on the table""). Some like..."
N113745,sports,ABC7 Celebrates Latino Heritage Month 2019,
N127388,news,Dayton airport doubles number of charter passengers since 2015,"The Dayton International Airport, while seeing fewer passengers on commercial flights over the last decade, has seen a jump in passengers taking charter flights."
N20205,lifestyle,Beloved dog passes away minutes after owner dies of cancer,"Stuart Hutchinson and his dog, Nero, had been inseparable for years."
N79986,news,Top Defense Republican: Trump's Vivid Statement On Baghdadi 'A Little Uncomfortable',"Rep. Mac Thornberry (R-Texas) expressed unease with President Donald Trump's graphic description of a U.S. military raid that resulted in the death of so-called Islamic State leader Abu Bakr al-Baghdadi, who Trump said was ""whimpering and crying and screaming"" before detonating a suicide vest that killed himself and three of his children Saturday. Thornberry, the ranking member of the House Armed Services Committee, suggested on Sunday that he..."
N125220,video,Mississippi voters tout Trump's economic success,"Todd is having 'Breakfast with Friends' at the Double Barrel restaurant in Tupelo, Mississippi."
N85354,health,Even 2 Minutes of Exercise a Week May Lessen Risk of Dementia,"According to the Department of Health and Human Services, most healthy adults should get at least 150 minutes of moderate aerobic exercise or 75 minutes of vigorous aerobic exercise a week."
N24588,lifestyle,"The One-Word Mantra You Need This Thanksgiving, Based on Your Zodiac Sign",Tensions can run high when families come together round the table. Here the mantra you need to help you make it to pumpkin pie.
N42307,travel,My family's from Guam  here's why I think it's an underrated US travel destination,Guam's rich culture and adventure-friendly terrain make it one of the most underrated tourist destinations in America.
N64317,health,Weight-Loss Tips That Work From a Viewer Who Lost 250 Pounds,Annamarie is now down to a size 6. And she's sharing her top three tips for weight loss.
N122254,tv,14 action-packed shows that deserve a spot on your must-watch list,Action-packed TV shows that deserve a spot on your must-watch list
N79594,music,"Cody Simpson gushes over Miley Cyrus: 'We are very, very happy'",Cody Simpson confirms that he and Miley are together while praising her.
N102300,travel,"New River Rock Bar & Grille now hiring, gearing up to open along Great Miami",A new and locally owned restaurant and bar called the River Rock Bar & Grille is in the works overlooking the Great Miami River in Piqua.
N443,lifestyle,"Nike announces Kyrie 5, SpongeBob SquarePants collaboration restock, new release",
N119729,sports,Rutgers officially a home underdog vs. Liberty: Are Scarlet Knights on verge of most expensive loss ever?,"Imagine paying someone a million bucks to kick you in the stomach in your backyard. Rutgers faces that prospect this weekend, literally. The Scarlet Knights will try to snap their six-game losing streak and prevent another 1-11 season when they host Liberty on Saturday at SHI Stadium in Piscataway (12 p.m., BTN). Emphasis on ""try,"" according to the oddsmakers (and anyone else who has watched ..."
N15994,travel,Newark Airport's New Terminal Project Passes Major Milestone,"NEWARK, N.J. (WCBS 880/AP) -- A multibillion project to replace one of Newark Liberty International Airport's three terminals passed a major milestone on Wednesday. As WBCS 880's Peter Haskell reports, steelworkers raised the final steel beam for the exterior of the airport's Terminal A - renamed Terminal 1 - as New Jersey Gov. Phil Murphy and other officials watched. ...listen to the audio... Port Authority Chairman Kevin O'Toole says the new 1..."
N54986,entertainment,"Everything we know about Google Stadia: release date, 4K resolution, and the sold out Founder's Editions",Everything we know so far about Google's Netflix for games
N10816,weather,PG&E restores power to 165K customers after windy conditions subside,"Pacific Gas and Electric Co. has begun restoring power Thursday to some of the 179,000 customers whose power was shut off Wednesday afternoon. The utility said around 10 p.m. Thursday that PG&E crews have restored power to about 165,000 customers -- about 93% of the people affected by the shutoffs. PG&E began shutting off power to parts of 18 counties Wednesday afternoon through early Thursday morning. Below is the restoration progress for the..."
N60851,sports,Patriots will be down a tight end vs. Ravens,"Tight end continues to be an issue for the Patriots this season. Matt LaCosse (knee) has been downgraded to out for Sunday night's game against the Ravens. He practiced for the first time all week on a limited basis after missing the last several weeks entirely, but ultimately it wasn't enough to suit up for the game. The veteran suffered the injury against the Giants in Week 6. After releasing Eric Tomlinson earlier in the week, the team is..."
N116460,travel,Carter House to unveil memorial for 4-legged friend in Battle of Franklin,Did you know the story of the Battle of Franklin involved a dog? We didn't either.
N12801,news,"Microsoft, Tesla, Ford, Amazon and Intel - 5 Things You Must Know","U.S. stock futures rise slightly Thursday as Wall Street prepares for the busiest day of the third-quarter earnings season; Microsoft posts a big earnings beat and Tesla reports a surprise profit; Ford cuts full-year guidance; Amazon, Intel and 3M report earnings Thursday."
N61170,news,What Nixon's impeachment saga teaches us about Trump's,"Will Republicans ever get on board with impeaching and removing President Donald Trump from office? That's a question that we should be asking, given that Trump won't be removed unless a lot of Republican senators back such a move."
N73191,lifestyle,The 15 Best CBD Vape Pens,"With multiple flavors, dosages, and types of pens to choose from, there's something on this list for you."
N59984,autos,2021 Ford F-150 Spied Towing A Trailer Over The Rocky Mountains,There could be an all-new V8 engine under the hood.
N8343,news,Memorials for Tree of Life victims established abroad,"From Israel to Auschwitz, victims of the Tree of Life synagogue shooting have been memorialized. Russell Robinson, CEO of the Jewish National Fund-USA, was at the organization's conference in Phoenix, Ariz., when the shooting happened and remembers the scramble to increase security, in hopes of thwarting off any copycat attempts. Quickly and quietly, another effort unfolded behind the scenes. A major donor reached out to Mr. Robinson and said he..."
N43501,finance,7 Things That Prove Cheaper Isn't Always Better,These items can end up costing you more if you try to go the cheap route.
N106769,finance,25 Ways to Double Your Paycheck in 1 Month,"From redeeming credit card rewards to selling your own plasma, here are some tips to help you make more money each month."
N118062,lifestyle,"After months on the loose, an elusive emu has finally been spotted in North Carolina",An emu has been on the run in North Carolina for almost two months has finally been spotted by local officials and sequestered to one location.
N40998,news,Support drops for Medicare for All but increases for public option,"Support is dropping for Sen. Bernie Sanders' (I-Vt.) ""Medicare for All"" health care plan, according to a poll released Tuesday."
N84893,sports,"WATCH: A.J. Bouye, Tre Herndon snag fourth quarter picks vs. Jets","The Jags starting corners A.J. Bouye, Tre Herndon both had big games against the Jets and racked up three total picks on the day."
N490,video,Flight Attendant on Why Passengers Shouldn't Order Coffee,"A flight attendant is sharing secrets that airlines won't tell you. Inside Edition went to Air Hollywood and met up with flight attendant Jamila Hardwick, who says her colleagues never order warm beverages when they fly. ""The thing about the coffee and tea, the pipes are rarely cleaned,"" she said. She also has advice on a soda: Diet Coke takes longer to pour because it fizzes up more than any other soda on a flight."
N118071,health,This Is How Chelsea Lost 35 Pounds and Built Muscle After Having Reconstructive Hip Surgery,"Chelsea was always used to moving, typically six days a week as a dancer. But hip surgery sidelined her, and the pounds piled on."
N108626,lifestyle,Your Favorite Halloween Candy Based on Your Zodiac Sign,"No tricks, just treats on this list of goodies! The post Your Favorite Halloween Candy Based on Your Zodiac Sign appeared first on Taste of Home."
N737,lifestyle,Sweden's Princess Madeleine Reacts to Her Kids' Royal Titles Being Removed: 'I Think It's Good',Princess Madeleine Reacts to Her Kids' Royal Titles Being Removed
N49319,sports,What can the Wizards expect from Rui Hachimura?,Discussing the Wizards' 2019 lottery pick based off of what we've seen thus far.
N117451,sports,Ten Thoughts on the NFL and the Bears,"1) The New Orleans Saints are not trading Teddy Bridgewater while having a legit Super Bowl contending team right now. He stepped in and kept their offense working when Drew Brees was injured and proved his worth to the franchise. Sure it wasn't Brees-esque, but it was winning football. Bridgewater is set to be a free agent after this season and I'd expect him to cash in with some legit starting QB money somewhere (maybe in Navy and Orange)...."
N56227,sports,"WFAN's Mike Francesa trashes Pat Shurmur, Giants for 'sickening' loss to Cardinals: 'They are complete losers'","Mike Francesa can no longer ask Pat Shurmur tough questions, so he has some tough words for the Giants' head coach. The WFAN host gave new life to his still-active feud with the Giants and blasted the coach and his team after an ugly 27-21 loss to the Arizona Cardinals on Sunday at MetLife Stadium in East Rutherford - a loss where Shurmur made an inexplicable decision to go for it on ..."
N44143,sports,Magic vs. Cavs Preview: Magic basketball is finally back,The Orlando Magic tip off the 2019-20 season with playoff expectations by hosting the Cleveland Cavaliers
N99267,health,"Where to get a flu shot: Walmart, CVS, Walgreens and more","Yes, you really need it -- here's where to get it."
N118179,foodanddrink,14 Unexpected Items That These Chefs Never Refrigerate,"From butter to cheese, you probably have these foods in your fridge at home. Here's why that's not the best place for them."
N59585,sports,There's Gold in the White Sox infield,"Gold Glove finalists, that is"
N93106,sports,Michigan football's blowout win more about just how bad Maryland is right now,"Michigan football defeated Maryland, 38-7, Saturday in College Park, Md."
N105471,sports,Ricky Stenhouse Jr. to drive for JTG Daugherty Racing in 2020,"Harrisburg, N.C.  JTG Daugherty Racing announced today a new driver to their two-car lineup by signing 32-year-old Ricky Stenhouse Jr. to a multi-year deal. A seasoned veteran in the NASCAR Cup Series, Stenhouse Jr. will enter his eighth full-time season and will kick it off with JTG Daugherty Racing beginning at the 2020 DAYTONA 500 […]"
N16460,lifestyle,How a Philly area retailer finds sales success in physical storefronts,"You won't convince Sara Villari that brick-and-mortar retail is dead. ""Retail apocalypse"" has its own lengthy Wikipedia entry, citing the rise of behemoth box stores, the juggernaut of Amazon, and the ensuing struggles, declines, and bankruptcies among the likes of Sears, J.Crew, Borders, J.C. Penney, Toys R Us, Barney's, Forever 21 and countless more international and independently owned ..."
N49705,foodanddrink,Don't Miss These Under-the-Radar Restaurants in Every State,"In every state, there are beloved but little-known restaurants that serve up phenomenal food. Locals may not want to spread the word for fear of long lines, or maybe these spots are far from city centers  no matter why they're low-profile, they're worth finding. Here are under-the-radar eateries for you to discover."
N114082,sports,Ramsey promises Rams no holdout,The Los Angeles Rams' blockbuster acquisition of Jalen Ramsey last week had a pretty big caveat but following the 2020 season he could hold out.
N32119,foodanddrink,Where to celebrate National Dessert Day 2019 in Philadelphia,"Did you know desserts spelled backward is stressed? Well, there's nothing to stress about this Monday, because its officially National Dessert Day and there are plenty of incredible options to try around the City of Brotherly Love. Whether you're a chocolate fanatic, fruit-flavor lover or just an avid sweet-tooth holder you're in luck. Here is where to celebrate National Dessert Day 2019 in Philadelphia Where to celebrate National Dessert Day..."
N118203,sports,Steve Phillips Previews Game 6 of the World Series,The Nationals will look to force a Game 7 of the World Series when they face Justin Verlander and the Astros in Game 6 on Tuesday. MLB Insider Steve Phillips joins the show to discuss the matchup.
N33661,lifestyle,These 13 Women Battled Workplace Discrimination  and Won,"These women handled situations differently, but all succeeded."
N104581,sports,Aaron Judge will want that one back,Aaron Judge is pretty far down the list of people to blame for the Yankees losing the ALCS to the Astros in six games. Edwin Encarnacion forgot how to hit
N6513,news,"Democratic debate, impeachment inquiry deadlines: 5 things to know Tuesday","The fourth Democratic debate will feature 12 candidates, subpoena deadlines in the Turmp impeachment inquiry arrive and more news to know Tuesday."
N56758,video,Farkas: 'The Kurds think that we've betrayed them for oil.',"During his press conference announcing the killing of ISIS leader Abu Bakr al-Baghdadi, Pres. Trump said the U.S. is ""securing the oil fields"" in Syria. Trump said the oil ""fueled ISIS"" and ""helps the Kurds."" Following this statement, the president spoke about the U.S. ""taking some"" of the oil by making a deal with an oil company, citing ExxonMobil as an example. MSNBC analyst Evelyn Farkas joins Yasmin Vossoughian to discuss."
N34352,sports,What Patriots Players Said To Josh Gordon On Instagram After Seahawks Claimed WR,Josh Gordon may now be a member of the Seattle Seahawks but that doesn't mean he doesn't still have support from some former New England Patriots teammates. Seattle picked up the wide receiver off
N82285,sports,Clutch in the playoffs: Drivers who won in critical situations,"Since NASCAR instituted the elimination-style playoff format in 2014, we've seen several drivers elevate their abilities with everything on the line."
N115574,health,I Tested Positive for the Alzheimer's Gene at Age 26,"A DNA testing kit is like a crystal ball, but what if you don't like what you see?"
N49384,lifestyle,20 Halloween Costumes You Can Get Away with Wearing at the Office,"Thanks, Halloween, for happening on a Wednesday this year."
N120767,finance,Grocery shopping mistakes you don't want to make,A trip to grocery store can be a psyops experience. Don't go unaware.
N30024,video,Dog perplexed by stuffed animal lookalike,This cute dog gets totally confused with a stuffed animal that looks exactly like it. Too funny!
N18984,sports,49ers vs. Rams: 3 key matchups in NFC West showdown,These 3 matchups will decide the 49ers' NFC West showdown with the Rams.
N68011,sports,"NFL Power Rankings: Rodgers looks like a legit MVP, as the Eagles have serious problems.","Sports Pulse: The Bears continue to fall, as the quarterbacks on the Packers, Vikings and Colts shine."
N5695,weather,"New Snowstorm Hits Denver Area, But Not Many Schools Close",Classes are a go on Tuesday for most students despite the early arrival of a new snowstorm in the Denver metro area.
N108419,news,Police investigating suspicious death in Winston-Salem,"The Winston-Salem Police Department is investigating a suspicious death. Detectives say family members went to check on Erick Eaton, 33, and found him dead in his home in the 800 block of North Cameron Avenue. Officers responded just before noon on Sunday. The Criminal Investigations Division is handling the case. READ MORE:Police investigating suspicious death in Winston-Salem CHECK OUT WXII:Get the latest Greensboro, High Point and..."
N64363,sports,"Michael Bennett Sounds Off On Suspension, Trade Rumors, Role With Patriots",FOXBORO Mass. -- Michael Bennett addressed reporters for roughly three minutes after Wednesday's New England Patriots practice the defensive end's first since the team suspended him one game following an
N15998,lifestyle,"The 8 Best Storage Cubes for All Your Organizing Needs, According to Thousands of Customers","From sleek wire storage cubes to handy stackable options, we've rounded up the eight best storage cubes from Amazon, Walmart, and more."
N119969,lifestyle,23 Genius Home Improvement Projects You Can Do in an Hour (or Less!),These easy and affordable home improvement projects will transform your abode into something spectacular in 60 minutes or less.
N57913,finance,Wright State provost taking over some presidential duties,Wright State University's provost is performing day-to-day operational duties of the school's outgoing president as the school prepares for the retirement of president Cheryl Schrader.
N4458,sports,"Newman returns, helps No. 23 Wake Forest top NC State 44-10",Jamie Newman returned from injury to throw for three touchdowns and run for two more as No. 23 Wake Forest beat North Carolina State 44-10 on Saturday.
N97831,news,Simsbury police chief recommends firing sergeant for 'malicious gossip' and 'lack of respect and truthfulness',"Simsbury police Chief Nicholas Boulter has recommended firing one of his sergeants, based on the sergeant's behavior during an internal investigation into his conduct. But the sergeant's lawyer is pushing back and says that the internal investigation itself was unjust because Boulter was both the investigator and the victim of the alleged misconduct. At a Tuesday evening police commission ..."
N61417,sports,Trying to talk yourself into picking the Browns? Here are 3 things to consider,"BEREA, Ohio -- No one wants to hear about moral victories. Odell Beckham Jr. certainly didn't on Wednesday, a few days before the Browns took off for Massachusetts to take on the Patriots. ""We're not going to the Patriots to play a good game and pat ourselves on the back and come back to Cleveland and keep working,"" Beckham said. ""We're going down there to win, we're preparing to win, there's ..."
N28174,health,"When trying to lose weight, morning meals are better than evening ones","As our understanding of nutrition has evolved, we've learned that eating earlier in the day can be more favorable for shedding pounds, while eating later can interfere with weight loss -- and for more than one reason."
N56334,movies,Trailer - Bombshell,Trailer 1
N46316,sports,Superb Shapovalov captures maiden crown at Stockholm Open,Superb Shapovalov captures maiden crown at Stockholm Open
N75972,sports,Jaguars vs. Saints: D.J. Hayden has been a consistent force in Jags secondary,"With Jalen Ramsey missing the last two games, the Jaguars secondary and the defense overall has struggled the last two weeks. One wonders how tough those games might have been had it not been for the play of veteran nickel and cornerback back D.J. Hayden, especially in last week's 34-27 loss at Carolina. The seventh-year veteran who is in his second season with the Jaguars played with a foot ..."
N58456,news,Rep. Collins: House impeachment vote confirms everything Democrats are doing is wrong,Republican Rep. Doug Collins calls the upcoming House vote to formalize the Trump impeachment process a 'sham.'
N40676,autos,Garage Full of Rare Mopar Gold!,"Al Decarolis' New Jersey garage is packed with rare Mopar E- and B-Body Mopars, plus a few killer Bow Ties."
N12008,sports,Jose Altuve walk-off bomb off Aroldis Chapman ends Yankees season in 'failure',"HOUSTON -- Aaron Judge had to walk around the celebration that was forming on the infield. Jose Altuve had just crushed a two-run, walk-off home run off Yankees closer Aroldis Chapman for a 6-4 Astros win over the Yankees, clinching the American League Championship Series Saturday night. The young face of the Yankees franchise made the slow walk in from right field having to watch a ..."
N13832,sports,"Refs blow whistle early, cost Bucs late go-ahead TD in Titans win",
N64498,lifestyle,Germany's First Giant Panda Cubs Are Doing Great at Berlin Zoo,"The giant panda cubs are being cared for by their mother, Meng Meng."
N71361,lifestyle,When royals invite us inside their palatial homes  see photos,"See inside the stunning palaces, homes and gardens of various royal families around the world."
N83772,finance,The world's best private beaches you can actually buy,Fancy snagging your own white-sand retreat? The dream might just be more achievable than you think.
N24218,news,Dallas TV station apologizes for not interrupting Cowboys coverage for tornado warning,NBC Channel 5 news station apologized Monday for not interrupting coverage of the Dallas Cowboys game with a tornado warning Sunday night. An EF-3 tornado hit Dallas on Sunday evening and caused substantial damage at about 9:15 p.m. NBC 5 was broadcasting the Dallas Cowboys game and did not interrupt programming when a tornado warning was issued for the area. Some said they received ...
N22669,autos,For $19.99 a month you can have access to the brand new rideshare app membership Lyft Pink,"The new rideshare app membership Lyft Pink has reduced fares, complimentary bike and scooter rides, priority airport pickups and easy cancellations."
N97288,sports,Smith: Texans' self-inflicted mistakes drag them down in loss to Colts,"INDIANAPOLIS  Andrew Luck who? Jacoby Brissett shredded the Texans for three quarters. So did the Colts' receivers. And on another Sunday when Deshaun Watson kept fighting to keep his team close, Indianapolis ended up on top of the AFC South. The Colts' full-field march slowed down in the final quarter. But Brissett was a Luck-like 26-of-39 for 326 yards, four touchdowns and a 126.7 rating during Indianapolis' 30-23 victory at Lucas Oil..."
N91105,lifestyle,The Most Famous House in Every State,"Fame wasn't the impetus behind the construction of America's most eminent estates, yet it has followed them from their creation to the modern day thanks to their inimitable architecture and renowned former residents. Click through to view our picks for the most breathtaking and buzz-worthy abode in each state, then consider taking a road trip to explore any that are close by."
N427,lifestyle,6 Real Moms on How They Deal with Parental Burnout,Parental burnout is real but it's how you deal with it that counts. We asked real moms to share their tactics for rebooting when they need it most.
N121854,news,"Matthew Amiot Sentenced To Jail, Community Service In Duluth Synagogue Fire",The man who admitted to starting a fire that destroyed a Duluth synagogue has been sentenced.
N88534,sports,Verstappen fastest in final practice for F1's US Grand Prix,"AUSTIN, Texas (AP) Red Bull's Max Verstappen led the third and final practice before Saturday qualifying for the U.S. Grand Prix."
N86596,sports,"Jalen Ramsey expresses desire to stay with Rams ""for years and years to come""","New Rams cornerback Jalen Ramsey has yet to speak to reporters in L.A. However, he did speak via his 17 Weeks podcast commitment, produced by Lebron James' and Maverick Carter's Uninterrupted (except when the topic of China comes up) and SiriusXM/Pandora. ""I'm checking in after a huge, I mean, big, big day for me,"" Ramsey [more]"
N115630,news,Obamacare open enrollment starts Nov. 1. Here is what's new in Orlando,"A couple of weeks ago, Anne Packham, the lead Obamacare navigator in Central Florida, set up a table at a local health fair to remind passersby that open enrollment for the health law's insurance markets starts on Nov. 1 and ends on Dec. 15. Some were surprised that Obamacare -- the Affordable Care Act -- was still around. ""I cannot even tell you how many people walked up to me and said, 'Oh, Obamacare? I thought that was gone. Is it still..."
N28769,video,Why Army Ants Get Trapped in 'Death Circles',"Army ants are blind and use pheromones to follow trails of other ants, but if a trail loops they get locked running in an endless circle."
N124976,autos,The 2021 Volkswagen Golf GTI Mark 8 Might Have 250 Horsepower,The GTI might be the lowest-end version of the next-gen Golf that comes to the United States.
N20482,health,These Are the Dumbbell Exercises a Trainer Recommends to Burn Fat Faster,"Cardio can relieve stress and keep you in shape, but if you want to burn fat and lose weight, it's important that you add weight training to your routine."
N129301,weather,Heavy thunderstorms expected today in Palm Beach County,"Strong thunderstorms that could spawn tornadoes are likely Sunday in central and northern Palm Beach County, according to national weather forecasters. In a special advisory, meteorologists at the National Weather Service warned that winds over 45 mph could accompany the storms as they move through the region. Tornadoes could form, they said. In addition to high winds, forecasters said heavy ..."
N121326,movies,"Maryland's Most Haunted Spot Linked To Witch Lore, Website Says","While there are many eerie places in Maryland, a website says this site linked to witch lore and a movie is the most haunted of them all."
N103257,news,An AirPods Pro replacement costs $89 per earbud,"Perhaps unsurprisingly, given their higher price than the standard AirPods, it'll cost more for you to repair or replace the new AirPods Pro through Apple Support. Out of warranty, the price this time around is $89 per earbud, and it costs the same to have the wireless charging case repaired or replaced. If you lose an AirPods Pro earbud, Apple charges $89 for a new one or $99 to replace a misplaced case. For comparison, it costs $69 to replace..."
N86897,music,A Detailed List of Gwen Stefani and Blake Shelton's Cutest Moments,The Voice is officially the best matchmaker ever.
N112118,lifestyle,Princess Beatrice and Edoardo Mapelli Mozzi's romance timeline,Here's everything you need to know about Beatrice of York's whirlwind love affair with wealthy property developer and single dad Edo.
N127340,sports,Eduardo Perez joins five other managerial candidates as potential replacement for Mickey Callaway,"Brodie Van Wagenen will have his pick of the litter as the list for Mets managerial candidates becomes bulkier. Eduardo Perez is scheduled to interview with the Mets in hopes of replacing Mickey Callaway, according to multiple reports. Perez, a former first baseman/outfielder and current ESPN analyst, joins Joe Girardi, Carlos Beltran, Mike Bell, Luis Rojas and Derek Shelton as other ..."
N107520,sports,Fan falls from upper deck during Oklahoma State-Iowa State game,An unidentified fan fell from Jack Trice Stadium's upper deck to the lower deck during Saturday's Iowa State-Oklahoma State football game
N31002,foodanddrink,How To Eat and Drink Your Way Through the MGM Grand in 24 Hours,Never miss a good meal or drink.
N1883,travel,Dodging sticky fingers: How to outfox pickpockets,"I don't give much thought to petty crime when I travel abroad. I'm well aware that it happens: I've been preaching about the importance of wearing a money belt for decades. And for decades-- probably about a total of 4,000 days of travel-- I've never been hit by a thief."
N25379,health,"Wait, Can I Drink Coffee When I'm Intermittent Fasting, Or No?","And if the answer is no, I'm telling you right now that we're going to have a problem..."
N35119,sports,Bill Belichick Expects NFL To Close This Loophole Patriots Exploited Vs. Jets,EAST RUTHERFORD N.J. -- Bill Belichick expects the shenanigans he gleefully pulled late in Monday night's blowout win over the New York Jets to soon be outlawed. Early in the
N46374,news,"Second child dies from south St. Louis fire after being left home alone, third child still in critical condition","A second child has died after an apartment fire in south St. Louis Sunday afternoon. A 6-month-old baby boy died in the fire on the 1100 block of Kealty Lane in South St. Louis and two other children were rushed to the hospital in critical condition. One of the children rushed to the hospital, a 5-year-old girl, died at the hospital on Monday due to injuries sustained in the fire. The third child, a 4-year-old girl, is still in the hospital in..."
N122124,autos,"Top 10 Cheapest New Cars for 2020, and Which Are Worth Driving",You want an inexpensive new car? Try one of these
N9070,lifestyle,ADVICE ON PETS: Knowing when it's time to say goodbye to your pet,"Hello friends! Tuki here on my perch at the Potter League. I was hanging out at the front desk the other day when a family came in to adopt a new dog. I heard them say that their family dog, who was 13 years old, had to be laid to rest several months earlier and now they wanted to add a new furry member to their family. Like so many things that happen here  this got me thinking. How did they ..."
N76221,sports,Al Horford rings his Sixers career in style in win over his former Boston Celtics teammates,"Before he attempted his first shot or grabbed his first rebound as a 76er, Al Horford had one other duty before beginning his career with his new team. Horford had the duty of ringing the ceremonial bell, the pre-game ritual that goes to a celebrity before a Sixers game. It was symbolic since Horford rang in a new era with his current team against his former one. After playing the previous ..."
N329,news,Thousands showed up for the funeral of a veteran with no family. Then the truth came out.,"Edward K. Pearson actually had two sons, and had walked out on his family when the boys were teenagers, the Sarasota Herald-Tribune discovered."
N102536,autos,2020 Land Rover Defender Leaks on Set of James Bond Film,
N35071,finance,Alderman changes position on proposed slaughterhouse in Century City after hearing from neighbors,"MILWAUKEE  Milwaukee Alderman Khalif Rainey changed his position regarding a proposed slaughterhouse in Milwaukee's Century City Business Park following ""an overwhelming response from neighbors in opposition to the project."" Alderman Rainey issued this statement Friday, Oct. 18: ""As representative of the 7th Aldermanic District, my number one priority is to always reflect the interests and ..."
N23855,sports,Michigan football grades: Too many lapses in win vs. Illinois,"Free Press sports writer Orion Sang rates No. 16 Michigan football on a scale of 1 to 10, after a win over Illinois at Memorial Stadium on Saturday."
N64535,sports,3 trades the Rams should consider before deadline,It's time. Could the Rams make a move today prior to 4 p.m. EST?
N107014,travel,The Most Beautiful Natural Wonder in Every State,"While humans have built some impressive, gravity-defying, and awe-inspiring marvels  here are the most photographed structures in the world  the natural world may have us beat."
N2812,autos,Great taxis of the world - US edition,We explore the different wheels used across the world to ferry people around
N71659,sports,US Open champ Woodland has only two weeks to nail cup spot,"US Open champion Gary Woodland admitted Tuesday he has only two weeks to convince Tiger Woods that he deserves a captain's pick for the Presidents Cup. - 'A lot going on' - US captain Woods will decide on his four captain's picks, which could include himself, straight after next week's event in Japan."
N104372,sports,Bengals' A.J. Green hopes to make Week 10 return,The wide receivers hopes to get back on the field after the Bengals' Week 9 bye.
N106583,news,PHOTOS: Relatives grieve at site of Mexican ambush of Mormon family,Relatives mourn after gunmen killed nine women and children in the bloodiest attack on Americans in Mexico in years.
N2641,lifestyle,50 stunning wildlife photos that will make you see animals in a whole new light,Nature photography competitions collect the best photos of animals from around the world. Here's a selection of photos from five different contests.
N121350,autos,2021 Ford Bronco: What We Know So Far,"Ford's rugged SUV will make its triumphant return next year, and we have plenty of information about it."
N38545,sports,"Cleveland Cavaliers visit owner Dan Gilbert at his home on Saturday, sources say","DETROIT -- The Cleveland Cavaliers bypassed a full practice Saturday afternoon, choosing instead to visit owner Dan Gilbert at his home about 20 miles outside Detroit, sources tell cleveland.com. Gilbert, who has been the Cavaliers' chairman since 2005, continues to recover from a stroke suffered on May 26. The Cavs played the Detroit Pistons in their second preseason game Friday night. ..."
N84327,sports,League Cup last 16 score predictions,Five all-Premier League clashes take place in the League Cup this week. Who will reach the quarterfinals?
N53860,news,R.I. Census watchers concerned as U.S. Census works to gather citizenship info,"PROVIDENCE -- Local Census watchers are expressing concerns over recent actions of the U.S. Census Bureau after an Associated Press report revealed Monday that the agency had asked several state departments of motor vehicles and human services for driver's license data and information on those receiving government aid.""The Census Bureau's nationwide request for DMV records appears to be a ..."
N54077,sports,Alba Wins It Late For Marquette,"The Golden Eagles took just a little bit before scoring on Saturday against Villanova, but still got the win."
N87894,news,Off-duty San Joaquin County sheriff's deputy was on ride along with slain El Dorado County deputy,"STOCKTON -- An El Dorado County sheriff's deputy was shot and killed early Wednesday morning along with injuring an off duty San Joaquin County deputy who was riding along. The deputies were shot at while responding to a call of a theft at a marijuana grow in the area of Sand Ridge and Mount Aukum roads in Somerset, authorities said. Deputy Brian Ishmael, a four-year veteran in El Dorado ..."
N18579,autos,Great Cars You Can Own on a $50K Salary,Check out these cars you can afford on a salary of $50K or less.
N84483,lifestyle,Shop 40 Creative Gifts for Mom on Amazon,"Shop these self-care friendly finds, plus info on how to hide your tracks after you browse."
